idVenta,total,tipo,creacion,actualizacion,activo
6686,8400.0,Mostrador,2025-09-02 11:47:20,2025-09-02 11:47:20,True
6685,16000.0,Local,2025-09-02 11:16:14,2025-09-02 11:16:14,True
6684,6500.0,Mostrador,2025-09-02 11:01:32,2025-09-02 11:01:32,True
6683,13100.0,Mostrador,2025-09-02 10:54:22,2025-09-02 10:54:22,True
6682,4800.0,Mostrador,2025-09-02 10:53:47,2025-09-02 10:53:47,True
6681,10700.0,Mostrador,2025-09-02 10:25:48,2025-09-02 10:25:48,True
6680,4165.0,Delivery,2025-09-02 10:23:05,2025-09-02 10:23:05,True
6679,3600.0,Mostrador,2025-09-02 09:55:27,2025-09-02 09:55:27,True
6678,10700.0,Mostrador,2025-09-02 09:45:29,2025-09-02 09:45:29,True
6677,3600.0,Local,2025-09-02 09:28:14,2025-09-02 09:28:14,True
6676,5200.0,Mostrador,2025-09-02 09:16:27,2025-09-02 09:16:27,True
6675,7000.0,Mostrador,2025-09-02 09:06:00,2025-09-02 09:06:00,True
6674,5700.0,Mostrador,2025-09-02 08:52:33,2025-09-02 08:52:33,True
6673,20800.0,Local,2025-09-02 08:02:58,2025-09-02 08:02:58,True
6672,0.0,Mostrador,2025-09-01 19:18:13,2025-09-01 19:18:13,True
6671,4200.0,Mostrador,2025-09-01 18:55:12,2025-09-01 18:55:12,True
6670,6800.0,Local,2025-09-01 18:50:30,2025-09-01 18:50:30,True
6669,11500.0,Mostrador,2025-09-01 18:50:07,2025-09-01 18:50:07,True
6668,14800.0,Mostrador,2025-09-01 18:47:40,2025-09-01 18:47:40,True
6667,6500.0,Local,2025-09-01 18:41:19,2025-09-01 18:41:19,True
6666,7000.0,Mostrador,2025-09-01 18:41:08,2025-09-01 18:41:08,True
6665,2800.0,Mostrador,2025-09-01 18:38:46,2025-09-01 18:38:46,True
6664,8800.0,Local,2025-09-01 18:19:30,2025-09-01 18:19:30,True
6663,4200.0,Mostrador,2025-09-01 18:19:25,2025-09-01 18:19:25,True
6662,7800.0,Mostrador,2025-09-01 18:17:18,2025-09-01 18:17:18,True
6661,3600.0,Mostrador,2025-09-01 18:08:59,2025-09-01 18:08:59,True
6660,11600.0,Mostrador,2025-09-01 18:04:13,2025-09-01 18:04:13,True
6659,36700.0,Mostrador,2025-09-01 17:21:24,2025-09-01 17:21:24,True
6658,21000.0,Mostrador,2025-09-01 17:18:57,2025-09-01 17:18:57,True
6657,15100.0,Local,2025-09-01 17:16:00,2025-09-01 17:16:00,True
6656,6500.0,Mostrador,2025-09-01 17:07:22,2025-09-01 17:07:22,True
6655,7000.0,Local,2025-09-01 16:56:57,2025-09-01 16:56:57,True
6654,5700.0,Mostrador,2025-09-01 16:56:27,2025-09-01 16:56:27,True
6653,5000.0,Mostrador,2025-09-01 16:41:36,2025-09-01 16:41:36,True
6652,4200.0,Mostrador,2025-09-01 16:33:32,2025-09-01 16:33:32,True
6651,7800.0,Mostrador,2025-09-01 16:28:18,2025-09-01 16:28:18,True
6650,5000.0,Mostrador,2025-09-01 16:25:03,2025-09-01 16:25:03,True
6649,5700.0,Mostrador,2025-09-01 16:14:08,2025-09-01 16:14:08,True
6648,3800.0,Mostrador,2025-09-01 16:06:32,2025-09-01 16:06:32,True
6647,16600.0,Mostrador,2025-09-01 15:59:50,2025-09-01 15:59:50,True
6646,9200.0,Local,2025-09-01 15:57:04,2025-09-01 15:57:04,True
6645,11600.0,Mostrador,2025-09-01 15:52:23,2025-09-01 15:52:23,True
6644,12600.0,Mostrador,2025-09-01 15:41:10,2025-09-01 15:41:10,True
6643,9500.0,Mostrador,2025-09-01 15:38:37,2025-09-01 15:38:37,True
6642,11600.0,Mostrador,2025-09-01 15:27:53,2025-09-01 15:27:53,True
6641,11000.0,Mostrador,2025-09-01 15:19:10,2025-09-01 15:19:10,True
6640,8000.0,Mostrador,2025-09-01 15:11:22,2025-09-01 15:11:22,True
6639,2800.0,Mostrador,2025-09-01 12:58:34,2025-09-01 12:58:34,True
6638,7000.0,Mostrador,2025-09-01 11:31:36,2025-09-01 11:31:36,True
6637,6500.0,Mostrador,2025-09-01 11:27:34,2025-09-01 11:27:34,True
6636,9300.0,Mostrador,2025-09-01 10:33:29,2025-09-01 10:33:29,True
6635,4165.0,Delivery,2025-09-01 10:20:05,2025-09-01 10:20:05,True
6634,0.0,Mostrador,2025-09-01 10:19:35,2025-09-01 10:19:35,True
6633,8500.0,Mostrador,2025-09-01 09:46:49,2025-09-01 09:46:49,True
6632,5700.0,Mostrador,2025-09-01 09:34:13,2025-09-01 09:34:13,True
6631,15600.0,Delivery,2025-09-01 09:31:04,2025-09-01 09:31:04,True
6630,3600.0,Mostrador,2025-09-01 08:40:43,2025-09-01 08:40:43,True
6629,1400.0,Mostrador,2025-09-01 08:12:30,2025-09-01 08:12:30,True
6628,0.0,Mostrador,2025-08-31 18:46:16,2025-08-31 18:46:16,True
6627,4500.0,Mostrador,2025-08-31 18:42:14,2025-08-31 18:42:14,True
6626,5900.0,Local,2025-08-31 18:01:40,2025-08-31 18:01:40,True
6625,19200.0,Local,2025-08-31 17:51:10,2025-08-31 17:51:10,True
6624,4100.0,Mostrador,2025-08-31 17:49:22,2025-08-31 17:49:22,True
6623,19500.0,Local,2025-08-31 17:47:21,2025-08-31 17:47:21,True
6622,6000.0,Mostrador,2025-08-31 17:40:26,2025-08-31 17:40:26,True
6621,6000.0,Mostrador,2025-08-31 17:36:49,2025-08-31 17:36:49,True
6620,5800.0,Mostrador,2025-08-31 17:07:05,2025-08-31 17:07:05,True
6619,0.0,Delivery,2025-08-31 17:03:02,2025-08-31 17:03:02,True
6618,22800.0,Mostrador,2025-08-31 16:56:29,2025-08-31 16:56:29,True
6617,8600.0,Mostrador,2025-08-31 16:46:51,2025-08-31 16:46:51,True
6616,10800.0,Mostrador,2025-08-31 16:41:23,2025-08-31 16:41:23,True
6615,12900.0,Mostrador,2025-08-31 16:37:52,2025-08-31 16:37:52,True
6614,20400.0,Mostrador,2025-08-31 16:36:57,2025-08-31 16:36:57,True
6613,7800.0,Mostrador,2025-08-31 16:33:48,2025-08-31 16:33:48,True
6612,9000.0,Mostrador,2025-08-31 16:16:51,2025-08-31 16:16:51,True
6611,5400.0,Mostrador,2025-08-31 16:07:51,2025-08-31 16:07:51,True
6610,12000.0,Delivery,2025-08-31 15:28:11,2025-08-31 15:28:11,True
6609,9000.0,Mostrador,2025-08-31 14:53:27,2025-08-31 14:53:27,True
6608,3300.0,Mostrador,2025-08-31 14:31:58,2025-08-31 14:31:58,True
6607,3900.0,Mostrador,2025-08-31 14:19:30,2025-08-31 14:19:30,True
6606,3900.0,Mostrador,2025-08-31 14:18:03,2025-08-31 14:18:03,True
6605,12000.0,Delivery,2025-08-31 14:11:14,2025-08-31 14:11:14,True
6604,6800.0,Mostrador,2025-08-31 13:49:53,2025-08-31 13:49:53,True
6603,14600.0,Delivery,2025-08-31 13:31:13,2025-08-31 13:31:13,True
6602,8600.0,Delivery,2025-08-31 12:33:22,2025-08-31 12:33:22,True
6601,12800.0,Mostrador,2025-08-31 12:26:33,2025-08-31 12:26:33,True
6600,16200.0,Mostrador,2025-08-31 11:46:32,2025-08-31 11:46:32,True
6599,22400.0,Mostrador,2025-08-31 11:41:21,2025-08-31 11:41:21,True
6598,16100.0,Mostrador,2025-08-31 11:28:50,2025-08-31 11:28:50,True
6597,21000.0,Delivery,2025-08-31 10:25:05,2025-08-31 10:25:05,True
6596,9300.0,Mostrador,2025-08-31 10:24:23,2025-08-31 10:24:23,True
6595,8400.0,Delivery,2025-08-31 09:25:04,2025-08-31 09:25:04,True
6594,18800.0,Local,2025-08-31 09:22:36,2025-08-31 09:22:36,True
6593,0.0,Mostrador,2025-08-31 09:13:54,2025-08-31 09:13:54,True
6592,18700.0,Local,2025-08-30 19:10:02,2025-08-30 19:10:02,True
6591,7100.0,Mostrador,2025-08-30 18:31:37,2025-08-30 18:31:37,True
6590,6800.0,Mostrador,2025-08-30 18:27:58,2025-08-30 18:27:58,True
6589,7100.0,Mostrador,2025-08-30 18:13:18,2025-08-30 18:13:18,True
6588,7300.0,Mostrador,2025-08-30 18:07:20,2025-08-30 18:07:20,True
6587,15300.0,Mostrador,2025-08-30 17:51:00,2025-08-30 17:51:00,True
6586,5900.0,Mostrador,2025-08-30 17:29:51,2025-08-30 17:29:51,True
6585,3500.0,Mostrador,2025-08-30 17:27:44,2025-08-30 17:27:44,True
6584,12800.0,Local,2025-08-30 17:27:15,2025-08-30 17:27:15,True
6583,26700.0,Mostrador,2025-08-30 16:54:21,2025-08-30 16:54:21,True
6582,10200.0,Mostrador,2025-08-30 16:46:32,2025-08-30 16:46:32,True
6581,3500.0,Mostrador,2025-08-30 16:44:18,2025-08-30 16:44:18,True
6580,15800.0,Mostrador,2025-08-30 16:15:50,2025-08-30 16:15:50,True
6579,6000.0,Mostrador,2025-08-30 16:15:42,2025-08-30 16:15:42,True
6578,16500.0,Mostrador,2025-08-30 16:13:00,2025-08-30 16:13:00,True
6577,9900.0,Local,2025-08-30 16:10:51,2025-08-30 16:10:51,True
6576,4700.0,Mostrador,2025-08-30 14:54:09,2025-08-30 14:54:09,True
6575,5200.0,Mostrador,2025-08-30 14:49:57,2025-08-30 14:49:57,True
6574,4600.0,Mostrador,2025-08-30 14:09:55,2025-08-30 14:09:55,True
6573,0.0,Mostrador,2025-08-30 13:52:59,2025-08-30 13:52:59,True
6572,6000.0,Mostrador,2025-08-30 13:48:18,2025-08-30 13:48:18,True
6571,3500.0,Mostrador,2025-08-30 13:45:56,2025-08-30 13:45:56,True
6570,6000.0,Mostrador,2025-08-30 13:15:24,2025-08-30 13:15:24,True
6569,4500.0,Mostrador,2025-08-30 12:53:08,2025-08-30 12:53:08,True
6568,3900.0,Mostrador,2025-08-30 12:25:53,2025-08-30 12:25:53,True
6567,8700.0,Mostrador,2025-08-30 12:20:32,2025-08-30 12:20:32,True
6566,17800.0,Mostrador,2025-08-30 11:35:55,2025-08-30 11:35:55,True
6565,17200.0,Mostrador,2025-08-30 11:09:20,2025-08-30 11:09:20,True
6564,3900.0,Mostrador,2025-08-30 10:45:35,2025-08-30 10:45:35,True
6563,0.0,Local,2025-08-30 10:04:15,2025-08-30 10:04:15,True
6562,3900.0,Delivery,2025-08-30 09:58:05,2025-08-30 09:58:05,True
6561,0.0,Mostrador,2025-08-30 09:55:39,2025-08-30 09:55:39,True
6560,13000.0,Mostrador,2025-08-30 09:43:38,2025-08-30 09:43:38,True
6559,5400.0,Mostrador,2025-08-30 09:36:17,2025-08-30 09:36:17,True
6558,9100.0,Mostrador,2025-08-30 09:10:26,2025-08-30 09:10:26,True
6557,9100.0,Local,2025-08-30 09:02:08,2025-08-30 09:02:08,True
6556,45000.0,Local,2025-08-30 09:01:10,2025-08-30 09:01:10,True
6555,0.0,Local,2025-08-30 08:50:56,2025-08-30 08:50:56,True
6554,6300.0,Mostrador,2025-08-29 19:16:41,2025-08-29 19:16:41,True
6553,15300.0,Mostrador,2025-08-29 18:40:12,2025-08-29 18:40:12,True
6552,6500.0,Mostrador,2025-08-29 18:37:49,2025-08-29 18:37:49,True
6551,9900.0,Mostrador,2025-08-29 18:18:42,2025-08-29 18:18:42,True
6550,9500.0,Local,2025-08-29 18:04:43,2025-08-29 18:04:43,True
6549,3900.0,Mostrador,2025-08-29 17:59:40,2025-08-29 17:59:40,True
6548,4500.0,Mostrador,2025-08-29 17:47:28,2025-08-29 17:47:28,True
6547,0.0,Delivery,2025-08-29 17:30:06,2025-08-29 17:30:06,True
6546,4500.0,Mostrador,2025-08-29 17:25:20,2025-08-29 17:25:20,True
6545,5400.0,Mostrador,2025-08-29 17:19:31,2025-08-29 17:19:31,True
6544,31200.0,Mostrador,2025-08-29 16:50:32,2025-08-29 16:50:32,True
6543,3900.0,Mostrador,2025-08-29 16:31:50,2025-08-29 16:31:50,True
6542,3000.0,Mostrador,2025-08-29 16:28:42,2025-08-29 16:28:42,True
6541,6100.0,Mostrador,2025-08-29 14:48:38,2025-08-29 14:48:38,True
6540,10900.0,Mostrador,2025-08-29 13:40:52,2025-08-29 13:40:52,True
6539,3900.0,Mostrador,2025-08-29 13:37:26,2025-08-29 13:37:26,True
6538,5200.0,Mostrador,2025-08-29 13:10:43,2025-08-29 13:10:43,True
6537,9300.0,Mostrador,2025-08-29 13:08:59,2025-08-29 13:08:59,True
6536,3000.0,Mostrador,2025-08-29 12:18:41,2025-08-29 12:18:41,True
6535,4900.0,Local,2025-08-29 12:11:13,2025-08-29 12:11:13,True
6534,10500.0,Mostrador,2025-08-29 11:57:03,2025-08-29 11:57:03,True
6533,4100.0,Mostrador,2025-08-29 11:00:32,2025-08-29 11:00:32,True
6532,8400.0,Mostrador,2025-08-29 10:52:43,2025-08-29 10:52:43,True
6531,3900.0,Delivery,2025-08-29 10:33:05,2025-08-29 10:33:05,True
6530,6500.0,Mostrador,2025-08-29 10:27:53,2025-08-29 10:27:53,True
6529,6000.0,Local,2025-08-29 10:05:03,2025-08-29 10:05:03,True
6528,3900.0,Mostrador,2025-08-29 09:59:32,2025-08-29 09:59:32,True
6527,12500.0,Delivery,2025-08-29 09:58:05,2025-08-29 09:58:05,True
6526,4600.0,Local,2025-08-29 09:55:45,2025-08-29 09:55:45,True
6525,14100.0,Local,2025-08-29 09:52:54,2025-08-29 09:52:54,True
6524,7400.0,Mostrador,2025-08-29 09:39:12,2025-08-29 09:39:12,True
6523,23000.0,Mostrador,2025-08-29 09:39:06,2025-08-29 09:39:06,True
6522,3900.0,Mostrador,2025-08-29 09:29:00,2025-08-29 09:29:00,True
6521,6000.0,Mostrador,2025-08-29 09:23:23,2025-08-29 09:23:23,True
6520,4600.0,Local,2025-08-29 09:22:03,2025-08-29 09:22:03,True
6519,6000.0,Local,2025-08-29 09:15:00,2025-08-29 09:15:00,True
6518,16300.0,Delivery,2025-08-29 09:02:50,2025-08-29 09:02:50,True
6517,10800.0,Mostrador,2025-08-29 08:38:12,2025-08-29 08:38:12,True
6516,11900.0,Local,2025-08-29 08:29:33,2025-08-29 08:29:33,True
6515,0.0,Mostrador,2025-08-29 08:25:15,2025-08-29 08:25:15,True
6514,12000.0,Mostrador,2025-08-29 08:16:48,2025-08-29 08:16:48,True
6513,2800.0,Mostrador,2025-08-28 20:16:56,2025-08-28 20:16:56,True
6512,0.0,Mostrador,2025-08-28 20:11:16,2025-08-28 20:11:16,True
6511,8400.0,Local,2025-08-28 18:42:38,2025-08-28 18:42:38,True
6510,11900.0,Mostrador,2025-08-28 18:41:04,2025-08-28 18:41:04,True
6509,8800.0,Local,2025-08-28 18:35:20,2025-08-28 18:35:20,True
6508,7800.0,Mostrador,2025-08-28 18:21:50,2025-08-28 18:21:50,True
6507,12500.0,Mostrador,2025-08-28 18:17:50,2025-08-28 18:17:50,True
6506,4500.0,Mostrador,2025-08-28 18:16:38,2025-08-28 18:16:38,True
6505,9000.0,Mostrador,2025-08-28 17:43:13,2025-08-28 17:43:13,True
6504,6900.0,Mostrador,2025-08-28 17:40:49,2025-08-28 17:40:49,True
6503,3900.0,Mostrador,2025-08-28 17:32:31,2025-08-28 17:32:31,True
6502,4600.0,Local,2025-08-28 17:32:17,2025-08-28 17:32:17,True
6501,3300.0,Mostrador,2025-08-28 17:30:11,2025-08-28 17:30:11,True
6500,9700.0,Mostrador,2025-08-28 17:24:47,2025-08-28 17:24:47,True
6499,4500.0,Mostrador,2025-08-28 17:21:51,2025-08-28 17:21:51,True
6498,3900.0,Mostrador,2025-08-28 17:10:30,2025-08-28 17:10:30,True
6497,11700.0,Local,2025-08-28 16:48:10,2025-08-28 16:48:10,True
6496,8000.0,Mostrador,2025-08-28 16:42:55,2025-08-28 16:42:55,True
6495,3000.0,Mostrador,2025-08-28 16:36:57,2025-08-28 16:36:57,True
6494,14300.0,Mostrador,2025-08-28 16:35:21,2025-08-28 16:35:21,True
6493,8900.0,Mostrador,2025-08-28 16:34:17,2025-08-28 16:34:17,True
6492,15200.0,Mostrador,2025-08-28 16:31:43,2025-08-28 16:31:43,True
6491,3300.0,Local,2025-08-28 16:11:19,2025-08-28 16:11:19,True
6490,5200.0,Mostrador,2025-08-28 15:59:47,2025-08-28 15:59:47,True
6489,6600.0,Mostrador,2025-08-28 15:54:42,2025-08-28 15:54:42,True
6488,13000.0,Local,2025-08-28 15:44:44,2025-08-28 15:44:44,True
6487,8700.0,Delivery,2025-08-28 15:43:33,2025-08-28 15:43:33,True
6486,11200.0,Mostrador,2025-08-28 15:29:11,2025-08-28 15:29:11,True
6485,6000.0,Mostrador,2025-08-28 15:21:37,2025-08-28 15:21:37,True
6484,13100.0,Mostrador,2025-08-28 15:16:06,2025-08-28 15:16:06,True
6483,18700.0,Mostrador,2025-08-28 15:10:32,2025-08-28 15:10:32,True
6482,6000.0,Mostrador,2025-08-28 15:00:35,2025-08-28 15:00:35,True
6481,37300.0,Mostrador,2025-08-28 13:50:26,2025-08-28 13:50:26,True
6480,10200.0,Mostrador,2025-08-28 13:23:30,2025-08-28 13:23:30,True
6479,29500.0,Delivery,2025-08-28 12:59:25,2025-08-28 12:59:25,True
6478,3900.0,Mostrador,2025-08-28 12:59:16,2025-08-28 12:59:16,True
6477,12000.0,Mostrador,2025-08-28 12:36:41,2025-08-28 12:36:41,True
6476,14800.0,Local,2025-08-28 12:27:08,2025-08-28 12:27:08,True
