idVenta,idProducto,cantidad,precio,costo,cancelada,idDetalle,creacion,actualizacion,activo
48,DUL001,1,1200,500.0,False,117,2025-04-17 17:46:46,2025-04-17 17:46:46,True
48,DUL002,1,3500,1000.0,False,118,2025-04-17 17:46:46,2025-04-17 17:46:46,True
48,DUL005,1,2800,1400.0,False,119,2025-04-17 17:46:46,2025-04-17 17:46:46,True
49,CAF001,2,7000,2142.62,False,120,2025-04-17 17:48:34,2025-04-17 17:48:34,True
50,CAF002,1,3500,1071.31,False,121,2025-04-17 17:58:07,2025-04-17 17:58:07,True
50,CAF004,1,3500,1071.31,False,122,2025-04-17 17:58:07,2025-04-17 17:58:07,True
50,PRO001,1,5200,2071.31,False,123,2025-04-17 17:58:07,2025-04-17 17:58:07,True
50,DUL013,1,3800,1500.0,False,124,2025-04-17 17:58:07,2025-04-17 17:58:07,True
50,DUL004,1,4200,1513.0,False,125,2025-04-17 17:58:07,2025-04-17 17:58:07,True
50,DUL008,1,4200,1600.0,False,126,2025-04-17 17:58:07,2025-04-17 17:58:07,True
51,CAF006,1,3000,746.66,False,127,2025-04-17 17:58:43,2025-04-17 17:58:43,True
52,CAF003,1,3000,1071.31,False,128,2025-04-17 18:02:57,2025-04-17 18:02:57,True
52,CAF001,1,3500,1071.31,False,129,2025-04-17 18:02:57,2025-04-17 18:02:57,True
53,DUL011,1,3800,1500.0,False,130,2025-04-17 18:04:04,2025-04-17 18:04:04,True
53,DUL009,1,4200,1200.0,False,131,2025-04-17 18:04:04,2025-04-17 18:04:04,True
53,DUL007,2,8400,3600.0,False,132,2025-04-17 18:04:04,2025-04-17 18:04:04,True
54,DUL008,1,4200,1600.0,False,133,2025-04-17 18:05:49,2025-04-17 18:05:49,True
54,CAF001,1,3500,1071.31,False,134,2025-04-17 18:05:49,2025-04-17 18:05:49,True
55,CAF014,1,4000,1237.27,False,135,2025-04-17 18:15:13,2025-04-17 18:15:13,True
56,DUL001,4,0,2000.0,False,136,2025-04-17 18:28:16,2025-04-17 18:28:16,True
57,CAF003,1,3000,1071.31,False,137,2025-04-17 18:51:27,2025-04-17 18:51:27,True
57,DUL001,2,2400,1000.0,False,138,2025-04-17 18:51:27,2025-04-17 18:51:27,True
58,SAL001,1,2500,980.0,False,139,2025-04-17 18:52:33,2025-04-17 18:52:33,True
58,BEB008,1,3000,966.0,False,140,2025-04-17 18:52:33,2025-04-17 18:52:33,True
58,CAF007,1,4000,1383.05,False,141,2025-04-17 18:52:33,2025-04-17 18:52:33,True
59,CAF003,2,6000,2142.62,False,142,2025-04-17 19:05:28,2025-04-17 19:05:28,True
59,DUL002,1,3500,1000.0,False,143,2025-04-17 19:05:28,2025-04-17 19:05:28,True
59,DUL009,1,4200,1200.0,False,144,2025-04-17 19:05:28,2025-04-17 19:05:28,True
60,CAF006,1,3000,746.66,False,145,2025-04-18 09:06:56,2025-04-18 09:06:56,True
60,SAL001,1,2500,980.0,False,146,2025-04-18 09:06:56,2025-04-18 09:06:56,True
60,CAF003,1,3000,1071.31,False,147,2025-04-18 09:06:56,2025-04-18 09:06:56,True
60,BEB001,1,4000,1988.0,False,148,2025-04-18 09:06:56,2025-04-18 09:06:56,True
60,PRO003,1,6500,726.0,False,149,2025-04-18 09:06:56,2025-04-18 09:06:56,True
